,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
agvs_description,"('agvs_description', 1.0)","('heron_description', 0.9509466600708303)","('robotino_description', 0.9121478197552249)","('frida_description', 0.9085029161487141)","('yumi_description', 0.9037937570651754)","('jaguar_description', 0.8942831228022098)","('rethink_ee_description', 0.8832422761172901)","('icart_mini_description', 0.8727067799283784)","('innok_heros_description', 0.8679390222027501)","('hebiros_description', 0.8594679059544832)","('multisense_description', 0.8474209902489444)","('magni_description', 0.840789654671827)","('task_compiler', 0.8125192298548346)","('youbot_description', 0.8107723939544038)","('rmp_description', 0.7972126009258077)","('loki_description', 0.7838339020980095)","('raspigibbon_description', 0.7521173437811566)","('tra1_description', 0.7458479592893753)","('widowx_arm_description', 0.7031575940609445)","('phantomx_reactor_arm_description', 0.6884068567493649)"
warthog_simulator,"('warthog_simulator', 1.0)","('warthog_desktop', 0.6478948781342379)","('warthog_msgs', 0.6298991789430245)","('stdr_simulator', 0.5907047644230435)","('warthog_control', 0.5852312818459467)","('stdr_parser', 0.5378582011109502)","('stdr_msgs', 0.49430561344568447)","('slime_ros', 0.47182651487197713)","('warthog_description', 0.4471449585920698)","('rotors_simulator', 0.4386405422057764)","('stdr_gui', 0.40688052368461036)","('ridgeback_desktop', 0.3946646344788398)","('multisense_lib', 0.3819403063672273)","('uwsim', 0.36703806000426087)","('rospeex_samples', 0.3494455653293922)","('industrial_robot_simulator', 0.34445403428031385)","('industrial_desktop', 0.3364284382837075)","('rotors_evaluation', 0.33039608597278347)","('velodyne_simulator', 0.3175689421682084)","('multisense_cal_check', 0.30119666160927616)"
hector_quadrotor_gazebo,"('hector_quadrotor_gazebo', 1.0)","('hector_quadrotor_gazebo_plugins', 0.8804457768053116)","('hector_sensors_gazebo', 0.7862163284480176)","('hector_quadrotor_model', 0.7664554770259854)","('hector_quadrotor', 0.7572016140096853)","('hector_quadrotor_description', 0.7075317231928712)","('hector_worldmodel', 0.6722703996419891)","('hector_nav_msgs', 0.6419800536503244)","('hector_gazebo_plugins', 0.5967057570933797)","('hector_gazebo_thermal_camera', 0.5721833197372378)","('hector_uav_msgs', 0.5658619974831269)","('hector_sensors_description', 0.562657954463996)","('hector_geotiff_plugins', 0.5507624772239528)","('gazebo_ros', 0.5486852886644638)","('hector_slam', 0.5483767894648077)","('gazebo_mimic', 0.5436665965651376)","('r2_gazebo', 0.5395686108560439)","('cob_gazebo_worlds', 0.5294354989196448)","('gazebo_grasp_plugin', 0.5267363414754059)","('hector_quadrotor_pose_estimation', 0.5170604937326331)"
ax2550,"('ax2550', 1.0)","('ackermann_controller', 0.7366500593332982)","('yocs_controllers', 0.6725196002787592)","('four_wheel_steering_controller', 0.6437895522419961)","('maggie_motor_controller_msgs', 0.6268485154966681)","('roboteq_msgs', 0.6168606687312354)","('md49_base_controller', 0.5832346267794746)","('dynamixel_pro_controller', 0.566874965421195)","('imagezero_ros', 0.5610636915139391)","('mavlink', 0.5526759318331378)","('sainsmart_relay_usb', 0.5478285305475228)","('termcolor', 0.5457073568569908)","('libsiftfast', 0.5417513574846546)","('assimp_devel', 0.5399353946647728)","('phantomx_reactor_arm_controller', 0.5338232001689823)","('open_karto', 0.5314410158748204)","('vrpn', 0.5269136157940081)","('cob_canopen_motor', 0.516748781640294)","('rosconsole', 0.5143281310177955)","('pr2_controller_configuration_gazebo', 0.508910973938334)"
twist_mux,"('twist_mux', 1.0)","('navigation', 0.8854409428541693)","('catkin', 0.8597022058782202)","('libfreenect', 0.8546411465811415)","('sicktoolbox_wrapper', 0.8533755470685933)","('laser_assembler', 0.8529299225479895)","('rqt_robot_steering', 0.8525118294386541)","('axis_camera', 0.8523767282396753)","('sick_tim', 0.8523077743031857)","('usb_cam', 0.8520356158347673)","('robot', 0.8512910729387553)","('p2os_urdf', 0.8505416468150143)","('flir_ptu_driver', 0.8495858081223234)","('hokuyo_node', 0.8483344959509166)","('schunk_canopen_driver', 0.8471387688228)","('pointgrey_camera_driver', 0.8446490051625144)","('cob_sick_s300', 0.8429106714717258)","('serial', 0.8369471407717927)","('roslaunch', 0.7895860202100069)","('ros_control', 0.7607368580504312)"
ndt_costmap,"('ndt_costmap', 1.0)","('costmap_prohibition_layer', 0.8365531104926017)","('ndt_mcl', 0.8222240894159195)","('mcl_3dl', 0.7394929130570926)","('mbf_costmap_nav', 0.7019790952074719)","('move_base_flex', 0.6316730415731718)","('mbf_costmap_core', 0.6016921604193394)","('ndt_registration', 0.5475485255866777)","('ethzasl_gridmap_2d', 0.4960894991333209)","('mbf_simple_nav', 0.4892806942300183)","('nj_escape_crossing', 0.4765191520602655)","('mbf_abstract_nav', 0.4455539908434787)","('or_libs', 0.4156602273515163)","('ndt_map', 0.40975216388520264)","('fulanghua_waypoints_nav', 0.39002245829107673)","('gridmap_2d', 0.38421249211137765)","('ndt_rviz_visualisation', 0.37080063564737054)","('ndt_map_builder', 0.3491138563333538)","('cartographer_rviz', 0.3374141553796105)","('zeroconf_jmdns_suite', 0.3356048559938123)"
tile_map,"('tile_map', 1.0)","('ndt_map_builder', 0.8822777797796941)","('map_store', 0.8466840730177897)","('local_map', 0.7949882383456606)","('multirobot_map_merge', 0.7893412716447847)","('cost_map', 0.7749871393363773)","('rtabmap_ros', 0.7743157819877461)","('cost_map_ros', 0.7542478246434278)","('cost_map_demos', 0.7291345691986335)","('rtabmap', 0.7204377313771533)","('concert_service_indoor_2d_map_prep', 0.7127612668640162)","('grid_map_costmap_2d', 0.711579090632739)","('osm_cartography', 0.7008655181540078)","('grid_map_filters', 0.6989232530809573)","('grid_map_loader', 0.6857563140920645)","('multi_level_map', 0.6691825258321588)","('ethzasl_gridmap_2d', 0.6595463018783831)","('velodyne_height_map', 0.6358612894127502)","('grid_map_cv', 0.6268514732761499)","('concert_qt_map_annotation', 0.6215095734227836)"
loki_base_node,"('loki_base_node', 1.0)","('canopen_chain_node', 0.6875050646885453)","('lost_comms_recovery', 0.6587941117040308)","('terarangerone', 0.6305997189581507)","('feed_the_troll', 0.6171958264717682)","('rb1_base_purepursuit', 0.6035549731915638)","('rb1_base_pad', 0.5812298319502832)","('move_base_to_manip', 0.5711503248651262)","('nav2d_operator', 0.5469776383733621)","('roswiki_node', 0.5292503596950956)","('safe_teleop_base', 0.5220831848112215)","('loki_nav', 0.5170438823432392)","('um6', 0.5065618375522748)","('lizi_base_station', 0.5029965901766671)","('arni_nodeinterface', 0.4945702890319882)","('canopen_motor_node', 0.49242857033213505)","('rb1_base_control', 0.4892132732612712)","('featurenav_base', 0.48580922405556326)","('teraranger_array', 0.46526078774155755)","('rb1_base_gazebo', 0.45854894169785876)"
loki_nav,"('loki_nav', 1.0)","('homer_nav_libs', 0.9058566712328906)","('fulanghua_waypoints_nav', 0.8707972543823114)","('mbf_msgs', 0.7838822186692774)","('magni_demos', 0.7065934481814666)","('mbf_simple_nav', 0.6968665965887694)","('navfn', 0.6484512133970048)","('marvelmind_nav', 0.5800666276296346)","('mbf_costmap_core', 0.5657568714103456)","('tuw_nav_msgs', 0.5418240778414113)","('base_local_planner', 0.5193444823054112)","('dwa_local_planner', 0.5112030468338448)","('homer_mapnav', 0.4903233378771289)","('move_base_flex', 0.4608946378027824)","('multi_jackal_nav', 0.4508393165548781)","('loki_teleop', 0.4199583899315885)","('cob_linear_nav', 0.4114423610010354)","('nav_core', 0.34728725846758235)","('homer_mary_tts', 0.3353675041453157)","('hector_nav_msgs', 0.3327347820808739)"
cob_perception_msgs,"('cob_perception_msgs', 1.0)","('cob_3d_mapping_msgs', 0.7463607722458697)","('person_msgs', 0.723949815217522)","('dna_extraction_msgs', 0.6934565039137263)","('delphi_srr_msgs', 0.6726723460750733)","('fiducial_msgs', 0.6541970633498468)","('cob_perception_common', 0.6432596292809414)","('squirrel_mhand_msgs', 0.6384963751592511)","('gmplot_msgs', 0.6262312415603656)","('squirrel_kclhand_msgs', 0.6138610389728627)","('robotino_msgs', 0.5974125563167885)","('cob_common', 0.5942795179322381)","('perception_oru', 0.5778565411213009)","('squirrel_common', 0.5632167144814181)","('alliance_msgs', 0.5588279658013832)","('grasp_stability_msgs', 0.540821924370695)","('genlisp', 0.5172916518552918)","('reflexxes_type2', 0.5069144132438811)","('planning_msgs', 0.4973550311674513)","('marti_perception_msgs', 0.48821186753933454)"
test_mavros,"('test_mavros', 1.0)","('self_test', 0.9755605737965657)","('stomp_test_support', 0.9305665737286628)","('rostest', 0.9103826298752524)","('test_osm', 0.9028827371672651)","('sr_self_test', 0.844425290703891)","('pr2_self_test', 0.7955795389943888)","('combined_robot_hw_tests', 0.7531337006551115)","('rosunit', 0.6514519167610722)","('variant_topic_test', 0.6293168095884172)","('sr_gui_self_test', 0.6020211927275397)","('bcap_service_test', 0.5718337235681544)","('cram_test_utilities', 0.541622590081892)","('diagnostic_aggregator', 0.5332888204442315)","('network_control_tests', 0.5096997420515033)","('robot_self_filter', 0.4743404976341843)","('sr_ronex_test', 0.46146650698432934)","('rosjava_dynamic_reconfigure', 0.39986197803261625)","('denso_robot_core_test', 0.36868606746021637)","('turtlebot_stdr', 0.35439432289773243)"
motoman_sda10f_moveit_config,"('motoman_sda10f_moveit_config', 1.0)","('ur3_moveit_config', 0.7972564783638026)","('motoman', 0.7842424526501769)","('ur10_moveit_config', 0.7360559192897141)","('motoman_sia10f_support', 0.7225980592821261)","('motoman_driver', 0.7078290620003913)","('motoman_sia10d_support', 0.7040595759631701)","('staro_moveit_config', 0.6781617522062428)","('iri_wam_moveit_config', 0.6772911098609821)","('atlas_moveit_config', 0.6762397837793351)","('hironx_moveit_config', 0.6749443765135495)","('r2_moveit_config', 0.6721065377319235)","('yumi_moveit_config', 0.6711774847534059)","('motoman_msgs', 0.6612351403539143)","('motoman_sia5d_support', 0.6328882278642097)","('dynamixel_pro_arm_moveit_config', 0.6100660276782425)","('nextage_moveit_config', 0.607585393034009)","('industrial_moveit', 0.5950854992470717)","('fs100_motoman', 0.5821418899563279)","('baxter_moveit_config', 0.5602860081873463)"
mavlink,"('mavlink', 1.0)","('epos_library', 0.8832879788188811)","('libsiftfast', 0.8732287899556046)","('swiftnav', 0.8723227868063613)","('tblib', 0.8568177626418558)","('fcl', 0.8444084889715809)","('utilrb', 0.8406951074471675)","('sklearn', 0.8391469499410966)","('fiveam', 0.8341991878347996)","('alexandria', 0.8341967540093488)","('trivial_gray_streams', 0.8308266682239956)","('trivial_garbage', 0.8274393144761624)","('zbar_ros', 0.8244141297602773)","('utilmm', 0.8081106490541149)","('uwsim_osgocean', 0.7986544485622745)","('transform_graph', 0.7967619319132853)","('imagezero_ros', 0.787065294152352)","('vrpn', 0.7812737871273893)","('opengm', 0.7546612116699587)","('rtsprofile', 0.7502672706960986)"
nmea_gps_driver,"('nmea_gps_driver', 1.0)","('usb_cam', 0.9991548676247519)","('sick_tim', 0.9988155061267381)","('sicktoolbox_wrapper', 0.9984860935675617)","('gpsd_client', 0.9984378749253262)","('freenect_stack', 0.9980274614116724)","('schunk_canopen_driver', 0.9974088810978603)","('urg_node', 0.9972162211247358)","('laser_filters', 0.9967938899141164)","('hokuyo_node', 0.995534353729932)","('schunk_powercube_chain', 0.9945236638234835)","('wpi_jaco', 0.9893574239416877)","('serial', 0.9794323712549106)","('catkin', 0.97605693323922)","('mobile', 0.9546120748901689)","('capabilities', 0.9373276728483164)","('robot', 0.8972972385387721)","('twist_mux', 0.8521858452318438)","('neo_msgs', 0.8208743064071716)","('neo_platformctrl_diff', 0.8090362386358705)"
eusurdf,"('eusurdf', 1.0)","('urdf_viewer', 0.9639602732941298)","('urdf_transform', 0.9455197264736375)","('urdf2graspit', 0.937678964964983)","('urdf_parser', 0.9070627466090055)","('urdf_vehicle_kinematic', 0.8884930792219498)","('urdf_parser_plugin', 0.8451172341509103)","('collada_parser', 0.8307824678085203)","('urdf_tutorial', 0.7935533309661104)","('r2_description', 0.7611280326057671)","('urdf_sim_tutorial', 0.7352411206961782)","('urdf_processing_tools', 0.6833007002992648)","('lizi', 0.6707674875020736)","('lizi_arduino', 0.6499367165758538)","('mico_description', 0.5793097517656326)","('segbot_description', 0.5388682658258376)","('rethink_ee_description', 0.5037407969602639)","('flir_ptu_description', 0.4717193377611303)","('katana_description', 0.4545383951668509)","('warthog_description', 0.44213346160866906)"
ur_gazebo,"('ur_gazebo', 1.0)","('ur_kinematics', 0.9185165704011234)","('ur_description', 0.909459339146966)","('ur_bringup', 0.8428433362247228)","('ur10_moveit_config', 0.7961852594807342)","('industrial_msgs', 0.6840072787371073)","('industrial_utils', 0.6629201056628786)","('aubo_panel', 0.6261202695449215)","('convex_decomposition', 0.6232076037756505)","('odva_ethernetip', 0.6057212738684268)","('ur3_moveit_config', 0.5862107920549817)","('aubo_trajectory', 0.5703601021344908)","('motoman_sia10f_support', 0.5648946562714845)","('industrial_core', 0.542354020297563)","('industrial_deprecated', 0.5265640315428826)","('industrial_trajectory_filters', 0.5205705177176959)","('fanuc_driver', 0.505371295252748)","('aubo_description', 0.4934280471491743)","('industrial_moveit', 0.47838601262500147)","('motoman', 0.467347682439895)"
pepper_sensors,"('pepper_sensors', 1.0)","('pepper_meshes', 0.8735460140005614)","('pepper_dcm_bringup', 0.7789157496051018)","('pepper_control', 0.7488879891055917)","('pepper_description', 0.732771100969605)","('jsk_pepper_startup', 0.6351169303748513)","('naoqi_bridge_msgs', 0.512733877220054)","('sr_tactile_sensors', 0.45572631457390234)","('ibeo_msgs', 0.40856585889955666)","('romeo_sensors', 0.35856885942486005)","('hector_sensors_description', 0.34960618684130074)","('fingertip_pressure', 0.33316567741560443)","('force_torque_sensor_calib', 0.30910977017809016)","('naoqi_sensors', 0.2965409329029254)","('segbot_description', 0.2816080615409926)","('naoqi_apps', 0.27669934310574507)","('naoqi_sensors_py', 0.26829102175275743)","('warthog_msgs', 0.2643386973538393)","('force_torque_sensor_controller', 0.25262702744552423)","('naoqi_bridge', 0.24296485756187414)"
ecl_mobile_robot,"('ecl_mobile_robot', 1.0)","('rosmake', 0.5908485390668572)","('libfreenect', 0.5890261974772248)","('freenect_stack', 0.5868896371890034)","('gpsd_client', 0.5867096481467186)","('cob_sick_s300', 0.5865183555229059)","('schunk_powercube_chain', 0.5857709663721392)","('laser_assembler', 0.5853129043642491)","('nmea_navsat_driver', 0.5846295060771998)","('laser_filters', 0.5841246813811162)","('axis_camera', 0.5839909743157065)","('usb_cam', 0.5834797445605128)","('hokuyo_node', 0.5828064111788394)","('p2os_urdf', 0.5796574763909864)","('navigation', 0.5746503923506054)","('cob_utilities', 0.57190659188201)","('capabilities', 0.5645324607824406)","('joy', 0.548221679429643)","('neo_msgs', 0.5451057111474932)","('geometry_msgs', 0.5372329485378158)"
program_queue,"('program_queue', 1.0)","('queue_web', 0.7949180198552518)","('async_web_server_cpp', 0.7769379340507129)","('web_video_server', 0.6496283971307849)","('web_msgs', 0.6237374442057168)","('rqt_web', 0.5874305462563433)","('depthcloud_encoder', 0.5770964467710085)","('web_interface', 0.5677177839650756)","('rail_user_queue_manager', 0.5530022356900479)","('op3_web_setting_tool', 0.5032350332495463)","('rodi_robot', 0.4803216421361163)","('bus_server', 0.45765545422459675)","('mjpeg_server', 0.44026059574459164)","('rospeex_webaudiomonitor', 0.4339355546588777)","('pal_web_msgs', 0.39145469595867466)","('ddwrt_access_point', 0.36581362370318127)","('turtlesim', 0.35317239572280146)","('op3_offset_tuner_server', 0.33903154734151997)","('dji_sdk_demo', 0.33240783887368175)","('world_canvas_server', 0.3254914831388567)"
sr_visualization,"('sr_visualization', 1.0)","('sr_standalone', 0.6952328945358622)","('sr_robot_msgs', 0.641001050761206)","('sr_gui_bootloader', 0.6292165688248968)","('alfred_sr_linux', 0.6249621001375204)","('sr_gui_muscle_driver_bootloader', 0.5907524488400624)","('sr_example', 0.5622051606335515)","('sr_movements', 0.5585024901644702)","('sr_gui_hand_calibration', 0.5566087085905322)","('sr_gui_joint_slider', 0.543780763679543)","('sr_edc_controller_configuration', 0.5320736548175358)","('shadow_robot_ethercat', 0.5145153235576629)","('sr_hardware_interface', 0.5095614499284441)","('sr_mechanism_model', 0.49318876716425564)","('sr_edc_muscle_tools', 0.48845748872182704)","('sr_grasp', 0.48239582857440655)","('schunk_grippers', 0.4730213229109367)","('sr_utilities', 0.4639818695029979)","('sr_hand', 0.4593536448851441)","('sr_edc_ethercat_drivers', 0.4502592133934389)"
